rel_log_exposure,density
-1.00052,0.990634
-0.963993,0.99252
-0.929048,0.991892
-0.895794,0.989073
-0.863798,0.984867
-0.490592,0.985171
-0.465619,0.990959
-0.440473,0.997203
-0.090548,1.134244
-0.065554,1.147686
-0.040581,1.161279
-0.01563,1.175306
0.79432,1.698103
0.818339,1.714797
0.843031,1.73071
0.868437,1.745864
0.894385,1.760238
1.709321,2.242753
1.734273,2.258515
1.759246,2.274276
1.784219,2.289908
2.134338,2.485333
2.159289,2.49626
2.184284,2.506883
2.623824,2.660965
2.672057,2.677659
2.726664,2.696715
2.788793,2.718244
2.859202,2.742916
