wavelength_nm,density
400.382528,0.770035
401.473142,0.763795
403.507868,0.754164
404.272925,0.752401
404.82637,0.752401
411.679327,0.801777
412.771568,0.810608
413.862181,0.819411
414.83885,0.829192
416.906131,0.850339
419.087358,0.870551
420.064026,0.881145
421.154639,0.889948
423.221921,0.906769
425.403147,0.922518
427.470429,0.937588
429.651655,0.949919
431.718937,0.960499
433.900163,0.96933
435.967444,0.97637
438.148671,0.981674
440.215952,0.984238
442.397179,0.985201
444.46446,0.983437
446.645686,0.979897
447.737927,0.977198
448.712968,0.973657
450.895822,0.965789
452.963104,0.956023
455.14433,0.945442
457.211612,0.934048
459.37656,0.92169
461.460119,0.907583
463.625068,0.894289
465.806294,0.880182
467.873576,0.866074
472.122084,0.836096
476.256647,0.805317
480.505155,0.774512
482.572436,0.759455
484.753663,0.743584
486.820944,0.728663
489.00217,0.715369
491.069452,0.703039
493.252306,0.69163
495.319588,0.681864
497.500814,0.673996
499.568095,0.667756
501.749322,0.66423
503.816603,0.660716
505.99783,0.658125
508.065111,0.655412
510.246337,0.654612
512.313619,0.652849
514.494845,0.651085
518.728703,0.645781
520.909929,0.642254
522.977211,0.640491
525.044493,0.639677
527.128052,0.639677
531.37656,0.640491
535.625068,0.641305
537.692349,0.642254
539.85567,0.642254
541.924579,0.641305
544.105806,0.640491
548.354314,0.636978
552.601194,0.633437
554.670103,0.631674
556.852957,0.62911
558.920239,0.625583
561.101465,0.622043
563.167119,0.617566
565.348345,0.610513
567.417254,0.601682
569.598481,0.592051
571.664135,0.579707
572.756375,0.572653
573.846989,0.5656
574.937602,0.557596
576.028215,0.548793
578.093869,0.528568
580.258817,0.507406
582.327727,0.485296
583.41834,0.473901
584.409658,0.461557
586.478568,0.436883
588.659794,0.411232
589.634835,0.399837
590.725448,0.388443
592.794357,0.367146
594.975583,0.346948
597.044493,0.328486
599.209441,0.311666
601.276723,0.296744
603.456321,0.284387
605.541508,0.27287
607.706457,0.263226
609.772111,0.254422
611.953337,0.248182
614.022246,0.242065
616.203473,0.237588
618.270754,0.234075
620.45198,0.231484
622.517634,0.229721
624.698861,0.228785
628.948996,0.227957
633.197504,0.228785
635.266413,0.229721
637.333695,0.231484
641.580575,0.235825
650.079219,0.246419
654.326099,0.252659
658.576234,0.258763
662.823114,0.265803
667.056972,0.272043
675.555616,0.283437
679.804124,0.288741
684.051004,0.294031
688.301139,0.297558
692.549647,0.299322
696.000543,0.300271
699.565383,0.300271
