wavelength_nm,density
400.385784,1.283953
401.583831,1.28573
402.680955,1.28927
403.577862,1.293665
403.978296,1.295442
404.277808,1.298074
404.821487,1.302482
411.684211,1.417946
412.771568,1.438253
413.860553,1.458505
414.840477,1.478785
416.911015,1.521975
419.087358,1.565152
420.068909,1.5863
421.157895,1.606593
423.226804,1.64627
428.56267,1.737941
429.651655,1.752035
430.74064,1.764379
437.058058,1.814623
438.147043,1.819913
439.236028,1.825203
445.551818,1.838429
446.640803,1.837547
447.729788,1.835784
448.709712,1.833139
449.800326,1.830494
450.887683,1.826085
452.95822,1.816386
455.136191,1.804924
457.2051,1.793475
459.383071,1.78025
460.470429,1.773196
461.45198,1.765274
462.540966,1.756443
463.629951,1.746758
464.718937,1.735282
465.807922,1.722938
466.787846,1.70974
467.876831,1.695619
470.05643,1.666536
472.125339,1.637453
474.194249,1.60837
476.263158,1.578391
478.441129,1.549308
480.510038,1.521093
482.578947,1.493774
484.758546,1.465559
485.847531,1.453215
486.827455,1.440871
487.914813,1.429422
489.005426,1.41971
491.074335,1.402971
492.163321,1.396799
493.252306,1.39064
494.341291,1.38535
495.321215,1.380928
496.410201,1.378283
497.499186,1.375638
498.588171,1.374769
499.568095,1.374769
500.657081,1.375638
501.747694,1.378283
503.816603,1.382705
505.994574,1.387968
508.061856,1.391508
510.241454,1.395917
512.310364,1.400326
514.488334,1.407379
515.57732,1.411788
516.667933,1.417078
518.736842,1.42854
520.913185,1.440871
521.894737,1.446175
522.983722,1.451451
525.051004,1.460269
527.121541,1.46819
531.368421,1.48318
532.457406,1.487588
538.771568,1.510526
539.862181,1.511394
540.951167,1.511394
547.266956,1.491997
548.357569,1.484957
549.446555,1.477008
554.674986,1.421487
556.852957,1.395035
558.921867,1.365952
561.101465,1.335106
563.168747,1.301587
565.346717,1.265464
566.435703,1.246053
572.749864,1.116481
573.842105,1.095334
576.020076,1.054788
578.088985,1.01423
580.2637,0.974552
581.24688,0.956036
582.334238,0.938416
584.404775,0.904029
586.475312,0.871419
587.56267,0.856443
588.651655,0.841454
589.631579,0.828228
590.720564,0.815016
591.80955,0.802686
598.126967,0.747165
599.215952,0.740993
600.30331,0.735662
605.534997,0.71895
607.71134,0.716291
609.776994,0.716291
611.959848,0.71895
614.028757,0.723345
616.2051,0.729517
618.27401,0.736557
620.45198,0.745388
622.522518,0.755955
624.698861,0.766522
626.875203,0.777998
628.947368,0.791196
631.125339,0.805317
633.194249,0.819438
635.263158,0.835309
637.333695,0.851153
639.513294,0.867892
641.578947,0.884658
645.827455,0.916373
650.074335,0.948114
652.143245,0.964867
654.322843,0.982474
656.391753,0.99924
658.568095,1.015138
660.637005,1.0301
662.816603,1.043326
667.063483,1.069764
671.310364,1.095334
675.557244,1.120022
677.627781,1.133234
679.807379,1.14646
680.896365,1.152632
681.873033,1.157922
682.962018,1.163226
684.051004,1.166725
685.141617,1.169371
686.228974,1.171148
687.210526,1.172897
688.301139,1.173779
692.546392,1.173779
694.411829,1.173779
696.270754,1.172897
698.230602,1.171148
699.195876,1.169778
699.64026,1.16914
