rel_log_exposure,density
-0.002433,0.174877
0.045742,0.173399
0.197567,0.173399
0.226764,0.171921
0.361071,0.171921
0.375669,0.173399
0.439903,0.173399
0.460341,0.174877
0.575669,0.17931
0.685158,0.189655
0.790268,0.204433
0.890998,0.223645
0.985888,0.245813
1.077859,0.272414
1.16399,0.30197
1.247202,0.334483
1.326034,0.368473
1.401946,0.405419
1.472019,0.442365
1.540633,0.482266
1.606326,0.52069
1.66764,0.560591
1.726034,0.600493
1.782968,0.637438
1.836983,0.675862
1.888078,0.71133
1.937713,0.746798
1.985888,0.777833
2.118735,0.866502
2.257421,0.955172
2.400487,1.048276
2.543552,1.139901
2.688078,1.234483
2.832603,1.326108
2.975669,1.417734
3.114355,1.506404
3.250122,1.592118
3.380049,1.674877
3.504136,1.753202
3.620925,1.827094
3.726034,1.895074
3.823844,1.955665
3.908516,2.010345
3.980049,2.056158
4.038443,2.093103
4.082238,2.119704
4.109976,2.137438
4.117275,2.141872
