wavelength_nm,density
399.932718,0.606139
409.935974,0.674219
419.9414,0.757202
429.935974,0.807061
439.9414,0.847289
449.944655,0.842354
459.9414,0.804317
469.942485,0.800271
479.947911,0.785239
489.955507,0.706041
499.947911,0.671182
509.953337,0.692007
519.958763,0.630954
529.951167,0.568124
539.956593,0.552907
549.962018,0.542918
559.965274,0.544132
569.959848,0.538937
579.965274,0.495879
589.96853,0.372007
599.967444,0.263709
609.96853,0.222907
619.971785,0.222907
629.977211,0.203666
639.971785,0.172668
649.981552,0.164881
659.982637,0.161844
669.979381,0.161844
679.980467,0.160683
689.983722,0.158677
699.991319,0.154881
709.983722,0.152657
719.991319,0.147863
729.996744,0.139859
739.989148,0.13282
749.994574,0.122831
760.0,0.113818
770.003256,0.104642
779.99783,0.0968
789.998915,0.087625
