wavelength_nm,density
399.932718,0.220043
409.935974,0.176811
419.930548,0.134989
429.935974,0.099197
439.9414,0.070597
449.935974,0.050705
459.9414,0.040282
469.942485,0.035607
479.937059,0.032809
489.944655,0.033091
499.947911,0.038427
509.944655,0.045217
519.945741,0.054089
529.951167,0.071584
539.947911,0.096627
549.951167,0.131128
559.956593,0.168091
569.953337,0.209501
579.954422,0.262202
589.962018,0.343915
599.967444,0.442722
609.957678,0.54051
619.963104,0.636551
629.966359,0.727636
639.960933,0.805824
649.9707,0.876475
659.973956,0.935672
669.96853,0.978796
679.971785,0.999967
689.97287,0.996269
699.971785,0.965043
709.975041,0.903677
719.980467,0.821443
729.975041,0.722061
739.978296,0.612918
749.988063,0.50103
759.978296,0.400835
769.983722,0.309696
779.986978,0.232896
789.983722,0.170087
799.986978,0.123514
