wavelength_nm,density
400.071622,0.006182
409.935974,0.01051
419.930548,0.017202
429.935974,0.036085
439.9414,0.018113
449.935974,0.024035
459.9414,0.070184
469.942485,0.145293
479.937059,0.256594
489.944655,0.405228
499.947911,0.567126
509.944655,0.726508
519.945741,0.863492
529.951167,0.967614
539.947911,1.000249
549.951167,0.934794
559.956593,0.785011
569.953337,0.596725
579.954422,0.421605
589.962018,0.285434
599.967444,0.195835
609.957678,0.137505
619.963104,0.100716
629.966359,0.075076
639.960933,0.059132
649.9707,0.048601
659.973956,0.040879
669.96853,0.035206
679.971785,0.030575
689.97287,0.028482
699.971785,0.026312
709.975041,0.024794
719.980467,0.023384
729.975041,0.022104
739.978296,0.020813
749.988063,0.018883
759.978296,0.016486
769.983722,0.01474
779.986978,0.012332
789.983722,0.010575
799.986978,0.008416
