wavelength_nm,density
400.019533,0.498113
409.935974,0.647852
419.930548,0.797234
429.935974,0.921833
439.9414,0.99
449.935974,0.999967
459.9414,0.934447
469.942485,0.799978
479.937059,0.6282
489.944655,0.455466
499.947911,0.308709
509.944655,0.195423
519.945741,0.12346
529.951167,0.076204
539.947911,0.04743
549.951167,0.030108
559.956593,0.019577
569.953337,0.011226
579.954422,0.007419
589.962018,0.005206
599.967444,0.00321
609.957678,0.001811
619.963104,0.001811
629.966359,0.000586
639.960933,0.000108
649.9707,-0.000304
659.973956,-0.001009
669.96853,-0.00141
679.971785,-0.001475
689.97287,-0.001182
699.971785,-0.001009
709.975041,0.000694
719.980467,0.001627
729.975041,0.002918
739.978296,0.003796
749.988063,0.005033
759.978296,0.005597
769.983722,0.004382
779.986978,0.004729
789.983722,0.004794
799.986978,0.003915
